"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2018,19,129038843,23517343
2018,9,129028138,23517348
2018,12,129038861,23522123
2018,12,129032785,23522160
2018,18,129032823,23522170
2018,10,129032943,23527244
2018,2,129032943,23527243
2018,12,129039545,23517472
2018,18,129039875,23527358
2018,20,129028906,23522277
2018,12,129040043,23522295
2018,2,129029119,23527412
2018,12,129040315,23517672
2018,12,129040355,23517692
2018,18,129040398,23517717
2018,12,129033539,23527471
2018,12,129040466,23527482
2018,12,129029333,23527484
2018,19,129040498,23517747
2018,9,129040579,23517798
2018,10,129040617,23527538
2018,19,129033696,23527554
2018,20,129040802,23517878
2018,12,129040818,23517887
